date,rented bike count,hour,temperature(°c),humidity(%),wind speed (m/s),visibility (10m),dew point temperature(°c),solar radiation (mj/m2),rainfall(mm),snowfall (cm),seasons,holiday,functioning day
2017-12-01,254,12AM,-5.2,37,2.2,2000,-17.6,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-01,204,1AM,-5.5,38,0.8,2000,-17.6,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-01,173,2AM,-6.0,39,1.0,2000,-17.7,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-01,107,3AM,-6.2,40,0.9,2000,-17.6,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-01,78,4AM,-6.0,36,2.3,2000,-18.6,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-01,100,5AM,-6.4,37,1.5,2000,-18.7,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-01,181,6AM,-6.6,35,1.3,2000,-19.5,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-01,460,7AM,-7.4,38,0.9,2000,-19.3,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-01,930,8AM,-7.6,37,1.1,2000,-19.8,0.01,0.0,0.0,Winter,No Holiday,Yes
2017-12-01,490,9AM,-6.5,27,0.5,1928,-22.4,0.23,0.0,0.0,Winter,No Holiday,Yes
2017-12-01,339,10AM,-3.5,24,1.2,1996,-21.2,0.65,0.0,0.0,Winter,No Holiday,Yes
2017-12-01,360,11AM,-0.5,21,1.3,1936,-20.2,0.94,0.0,0.0,Winter,No Holiday,Yes
2017-12-01,449,12PM,1.7,23,1.4,2000,-17.2,1.11,0.0,0.0,Winter,No Holiday,Yes
2017-12-01,451,1PM,2.4,25,1.6,2000,-15.6,1.16,0.0,0.0,Winter,No Holiday,Yes
2017-12-01,447,2PM,3.0,26,2.0,2000,-14.6,1.01,0.0,0.0,Winter,No Holiday,Yes
2017-12-01,463,3PM,2.1,36,3.2,2000,-11.4,0.54,0.0,0.0,Winter,No Holiday,Yes
2017-12-01,484,4PM,1.2,54,4.2,793,-7.0,0.24,0.0,0.0,Winter,No Holiday,Yes
2017-12-01,555,5PM,0.8,58,1.6,2000,-6.5,0.08,0.0,0.0,Winter,No Holiday,Yes
2017-12-01,862,6PM,0.6,66,1.4,2000,-5.0,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-01,600,7PM,0.0,77,1.7,2000,-3.5,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-01,426,8PM,-0.3,79,1.5,1913,-3.5,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-01,405,9PM,-0.8,81,0.8,1687,-3.6,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-01,398,10PM,-0.9,83,1.5,1380,-3.4,0.0,0.0,0.0,Winter,No Holiday,Yes
